t,qtr,y
1,2000Q1,1517
2,2000Q2,1248
3,2000Q3,1677
4,2000Q4,1393
5,2001Q1,1558
6,2001Q2,1368
7,2001Q3,1790
8,2001Q4,1396
9,2002Q1,1638
10,2002Q2,1507
11,2002Q3,1868
12,2002Q4,1510
13,2003Q1,1669
14,2003Q2,1392
15,2003Q3,1853
16,2003Q4,1353
17,2004Q1,1623
18,2004Q2,1401
19,2004Q3,1758
20,2004Q4,1078
21,2005Q1,1674
22,2005Q2,1516
23,2005Q3,1924
24,2005Q4,1522
25,2006Q1,2459
26,2006Q2,2428
27,2006Q3,2949
28,2006Q4,2248
29,2007Q1,2538
30,2007Q2,2400
31,2007Q3,2941
32,2007Q4,2420
33,2008Q1,2621
34,2008Q2,2521
35,2008Q3,3083
36,2008Q4,2574
37,2009Q1,2577
38,2009Q2,2457
39,2009Q3,2888
40,2009Q4,2458
41,2010Q1,2674
42,2010Q2,2917
43,2010Q3,3468
44,2010Q4,2931
45,2011Q1,3273
46,2011Q2,3064
47,2011Q3,3744
48,2011Q4,3241
49,2012Q1,3824
50,2012Q2,3517
51,2012Q3,4173
52,2012Q4,3369
53,2013Q1,3751
54,2013Q2,3383
55,2013Q3,3879
56,2013Q4,3391
57,2014Q1,3480
58,2014Q2,3400
59,2014Q3,4044
60,2014Q4,3610
61,2015Q1,4083
62,2015Q2,3907
63,2015Q3,4758
64,2015Q4,4167
65,2016Q1,4769
66,2016Q2,4199
67,2016Q3,5413
68,2016Q4,4687
69,2017Q1,5671
